cust_id,income,age,years_with_bank,nbr_children,gender,marital_status,city_name,state_code,female,single,married,separated,ccacct,ckacct,svacct,avg_cc_bal,avg_ck_bal,avg_sv_bal,avg_cc_tran_amt,avg_cc_tran_cnt,avg_ck_tran_amt,avg_ck_tran_cnt,avg_sv_tran_amt,avg_sv_tran_cnt,ccrev
1363371,3551,27,4,2,F ,2 ,Fresno                                  ,CA  ,1,0,1,0,1,0,1,0.0,944.35,608.02,0.0,0.0,124.49263157894737,8.142857142857142,204.18625,1.3333333333333333,0.0
1362685,34080,49,2,0,F ,1 ,Houston                                 ,TX  ,1,1,0,0,1,1,1,-1064.67,295.23,955.54,334.7086842105263,4.75,206.82777777777778,18.0,285.89416666666665,1.0,45.0
1362649,8976,28,7,1,F ,2 ,New York City                           ,NY  ,1,0,1,0,0,1,1,-751.27,117.91,0.0,161.43775,6.666666666666667,109.64410714285714,28.0,0.0,0.0,16.0
1362853,26505,50,0,1,F ,2 ,Newark                                  ,NJ  ,1,0,1,0,1,1,1,-961.16,2778.89,886.71,191.39409090909092,5.5,211.15515151515152,6.6,130.60333333333332,0.75,36.0
1363486,39942,41,1,5,F ,4 ,Honolulu                                ,HI  ,1,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0
1362843,27303,59,9,1,F ,3 ,Boston                                  ,MA  ,1,0,0,1,1,0,1,0.0,3246.24,335.11,0.0,0.0,216.35280487804877,41.0,140.636,0.8333333333333334,0.0
1363482,9129,66,6,0,M ,2 ,Denver                                  ,CO  ,0,0,1,0,1,0,0,-1612.81,0.0,366.28,239.24666666666667,6.0,0.0,0.0,127.72,1.5,25.0
1362935,0,15,0,0,M ,1 ,Portland                                ,OR  ,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1363259,7335,28,7,1,M ,2 ,Los Angeles                             ,CA  ,0,0,1,0,0,1,0,-198.9,0.0,0.0,175.8096153846154,4.333333333333333,0.0,0.0,0.0,0.0,9.0
1362540,49731,62,2,0,F ,2 ,Chicago                                 ,IL  ,1,0,1,0,0,0,1,0.0,9588.01,0.0,0.0,0.0,300.2394736842105,10.857142857142858,0.0,0.0,0.0
1363017,0,16,1,0,M ,1 ,Los Angeles                             ,CA  ,0,1,0,0,0,1,1,-647.16,795.29,2627.45,169.54533333333333,5.454545454545454,135.60824324324324,24.666666666666668,180.755,1.0,6.0
1362567,30664,56,6,1,F ,2 ,Los Angeles                             ,CA  ,1,0,1,0,1,0,0,0.0,0.0,3760.63,0.0,0.0,0.0,0.0,220.3753846153846,3.25,0.0
1362527,17622,44,1,0,M ,2 ,San Francisco                           ,CA  ,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1363135,18350,38,5,2,F ,2 ,Anaheim                                 ,CA  ,1,0,1,0,0,1,0,-349.35,0.0,537.05,248.3106896551724,2.4166666666666665,0.0,0.0,0.0,0.0,21.0
1363343,0,15,0,0,M ,1 ,Houston                                 ,TX  ,0,1,0,0,1,0,0,0.0,0.0,1413.47,0.0,0.0,0.0,0.0,178.04692307692306,2.1666666666666665,0.0
1362725,68933,52,2,1,M ,3 ,St Louis                                ,MO  ,0,0,0,1,1,1,1,-1158.09,1001.6,16802.12,540.4441463414635,4.1,386.40983870967744,31.0,629.1588888888889,0.75,80.0
1362487,6605,71,1,0,M ,2 ,Los Angeles                             ,CA  ,0,0,1,0,0,1,1,-692.21,1961.68,399.93,159.107,6.0,140.635,1.8333333333333333,110.11125,1.1428571428571428,13.0
1362586,24476,46,6,0,F ,1 ,Norfolk                                 ,VA  ,1,1,0,0,0,1,1,-2826.5,211.79,0.0,140.13803921568626,4.25,109.99509803921569,25.5,0.0,0.0,53.0
1363057,6493,74,4,0,F ,2 ,Rochester                               ,NY  ,1,0,1,0,1,1,0,-619.07,0.0,1693.67,170.04615384615386,4.333333333333333,0.0,0.0,130.45529411764707,1.4166666666666667,12.0
1362996,23351,51,1,2,F ,2 ,Philadelphia                            ,PA  ,1,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1363276,16422,32,2,3,M ,2 ,Kansas City                             ,MO  ,0,0,1,0,1,0,0,0.0,0.0,1221.91,0.0,0.0,0.0,0.0,144.18185185185186,2.25,0.0
1362546,10025,35,5,0,F ,2 ,New York City                           ,NY  ,1,0,1,0,1,1,1,-807.62,938.81,431.99,213.925375,6.666666666666667,122.3525,25.333333333333332,102.02666666666667,1.0,18.0
1362609,1929,79,8,0,F ,2 ,Honolulu                                ,HI  ,1,0,1,0,1,1,0,-2766.1,327.35,485.84,135.23545454545456,3.6666666666666665,115.6908695652174,23.0,202.059375,1.3333333333333333,28.0
1363192,10151,34,4,0,M ,4 ,Anaheim                                 ,CA  ,0,0,0,0,0,1,1,-907.1,505.42,0.0,88.72774193548388,2.5833333333333335,108.8435294117647,17.0,0.0,0.0,19.0
1362965,28402,74,4,0,M ,2 ,Milwaukee                               ,WI  ,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1362891,0,15,7,0,F ,1 ,Portland                                ,OR  ,1,1,0,0,1,0,0,0.0,0.0,1250.57,0.0,0.0,0.0,0.0,268.56857142857143,0.5833333333333334,0.0
1362729,0,13,5,0,M ,1 ,New York City                           ,NY  ,0,1,0,0,1,0,0,0.0,0.0,121.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1362929,83295,58,8,1,M ,4 ,Austin                                  ,TX  ,0,0,0,0,1,1,1,-3287.33,773.48,1013.8,543.5069696969697,4.714285714285714,380.88425925925924,6.75,524.5165,1.6666666666666667,115.0
1362763,21198,50,0,1,F ,2 ,San Francisco                           ,CA  ,1,0,1,0,0,1,1,-290.3,201.5,0.0,206.76827586206898,4.142857142857143,88.3878947368421,3.1666666666666665,0.0,0.0,24.0
1362548,44554,59,9,2,F ,4 ,New York City                           ,NY  ,1,0,0,0,1,1,1,-255.74,2902.36,252.13,718.5709523809523,1.75,274.25360655737705,6.1,0.0,0.0,47.0
1363158,13148,48,8,0,M ,1 ,Cleveland                               ,OH  ,0,1,0,0,1,1,1,-219.38,2034.16,866.99,23.474166666666665,1.0,146.37684210526317,1.5833333333333333,248.575,0.6666666666666666,15.0
1362525,6300,77,7,0,F ,1 ,Chicago                                 ,IL  ,1,1,0,0,1,1,1,-983.45,87.66,250.67,226.98224719101123,7.416666666666667,96.38185185185185,27.0,120.28739130434782,1.9166666666666667,15.0
1362588,6354,66,6,0,M ,2 ,Seattle                                 ,WA  ,0,0,1,0,1,1,1,-421.88,152.05,222.05,193.38551020408164,4.083333333333333,106.5718,16.666666666666668,114.54352941176471,1.4166666666666667,10.0
1362706,0,15,7,0,F ,1 ,St Louis                                ,MO  ,1,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1363480,8038,22,1,0,F ,1 ,Baltimore                               ,MD  ,1,1,0,0,0,0,1,0.0,690.46,0.0,0.0,0.0,119.48175438596492,14.25,0.0,0.0,0.0
1363459,11944,40,0,1,M ,2 ,Portland                                ,OR  ,0,0,1,0,0,1,0,-866.43,0.0,0.0,135.76892857142857,9.333333333333334,0.0,0.0,0.0,0.0,20.0
1363442,144157,58,5,0,M ,2 ,Houston                                 ,TX  ,0,0,1,0,0,0,1,0.0,1642.74,0.0,0.0,0.0,602.32875,14.0,0.0,0.0,0.0
1363196,35502,42,2,0,F ,1 ,Los Angeles                             ,CA  ,1,1,0,0,0,1,1,-1242.38,363.59,0.0,338.1745348837209,7.166666666666667,153.34333333333333,51.0,0.0,0.0,48.0
1363465,10516,41,1,1,M ,4 ,Riverside                               ,CA  ,0,0,0,0,1,0,1,0.0,2408.38,582.21,0.0,0.0,192.4883870967742,2.5833333333333335,0.0,0.0,0.0
1363461,23108,69,9,0,F ,2 ,St Paul                                 ,MN  ,1,0,1,0,0,1,1,-943.62,2244.2,0.0,260.81188405797104,5.75,177.31577464788734,17.75,0.0,0.0,32.0
1363015,24545,52,2,1,F ,2 ,Los Angeles                             ,CA  ,1,0,1,0,1,0,1,0.0,224.77,383.11,0.0,0.0,138.5536,5.555555555555555,0.0,0.0,0.0
1362792,3158,80,0,0,M ,2 ,New York City                           ,NY  ,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1362691,26150,46,5,1,M ,2 ,Las Vegas                               ,NV  ,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1363282,25829,29,8,0,F ,1 ,Washington                              ,DC  ,1,1,0,0,0,1,1,-436.53,206.98,0.0,211.94611111111112,3.0,153.4154,4.166666666666667,0.0,0.0,30.0
1363257,31910,44,4,0,M ,1 ,New York City                           ,NY  ,0,1,0,0,1,1,0,-1381.57,0.0,921.57,125.00941176470589,3.090909090909091,0.0,0.0,204.49666666666667,2.0,45.0
1363173,27649,58,8,1,M ,2 ,Anaheim                                 ,CA  ,0,0,1,0,0,1,1,-1308.45,176.85,826.96,108.39594594594594,3.0833333333333335,112.166,30.0,250.105,0.7272727272727273,40.0
1362677,11812,32,2,2,M ,4 ,Oklahoma City                           ,OK  ,0,0,0,0,0,0,1,0.0,615.42,0.0,0.0,0.0,136.11639344262295,20.333333333333332,0.0,0.0,0.0
