cust_id,income,age,years_with_bank,nbr_children,gender,marital_status,postal_code,state_code
20450010,0.0,22,4,2,F,1,55113,MN
20443995,29734.5,60,7,3,M,2,97237,OR
13629520,7633.0,54,4,1,F,2,98186,WA
23172700,8945.3,42,4,0,M,1,02158,MA
29993436,0.0,18,10,0,F,1,90106,CA
29977244,69291.2,30,9,1,F,3,90120,CA
24532272,34003.8,71,9,2,M,3,46227,IN
19083302,1454.6,80,10,1,M,2,55174,MN
14991273,30033.3,61,11,3,F,3,02171,MA
16352700,14475.9,55,5,4,M,3,63152,MO
25895024,8504.0,58,4,1,F,2,10126,NY
31339018,294050.4,54,4,1,M,2,90112,CA
27252760,14016.0,40,2,1,F,4,92705,CA
23174332,25206.4,47,3,0,F,1,90175,CA
19079550,14327.6,19,4,1,F,1,94174,CA
17723303,40370.2,51,8,4,M,2,55113,MN
16352292,5491.5,49,8,4,M,2,89194,NV
19077674,36610.0,47,6,2,M,2,89194,NV
23166155,12602.5,61,7,1,F,2,10079,NY
16358532,9339.1,50,9,3,F,1,94187,CA
14992945,49714.5,61,11,4,M,2,19136,PA
20442750,13441.5,91,8,2,M,4,89149,NV
16358736,7609.8,44,4,3,M,1,02189,MA
24529050,124079.4,54,2,3,M,3,63152,MO
27254840,37570.0,28,9,0,M,1,55411,MN
17725383,0.0,10,9,2,M,1,96802,HI
13631070,20184.0,42,2,1,F,1,32232,FL
31351967,23989.0,26,5,0,F,1,10029,NY
31344055,100238.6,42,2,5,F,2,64132,MO
17717063,67090.4,35,7,2,M,1,77036,TX
14994903,30413.9,60,10,3,M,2,92817,CA
21812640,0.0,15,3,1,F,1,93769,CA
14989601,28765.0,48,7,3,M,2,89194,NV
31354842,30629.1,19,4,0,F,1,60666,IL
23165951,19089.1,39,5,0,F,2,95101,CA
28623546,10381.4,45,5,5,M,2,32235,FL
17713046,57070.0,32,9,4,F,2,10152,NY
31355923,91979.3,40,0,0,F,1,85707,AZ
17717206,0.0,11,8,2,M,1,90105,CA
24538104,65226.6,43,1,2,M,1,02189,MA
14993088,38628.7,59,9,3,F,2,80243,CO
24535494,40824.0,66,4,2,M,1,33249,FL
23175148,14354.8,39,5,2,F,2,37232,TN
29996780,0.0,20,12,0,F,1,96802,HI
19076736,40413.8,78,8,1,F,2,77099,TX
21805952,44457.4,47,10,3,F,3,90141,CA
31358798,85527.8,36,6,0,M,1,87137,NM
25891680,3573.1,24,6,0,M,1,60665,IL
20448420,54355.5,46,3,2,M,1,02189,MA
17712760,75890.1,45,5,6,F,4,90061,CA
20444790,62475.0,35,2,5,M,3,02172,MA
17721223,47934.9,55,12,2,F,2,53269,WI
19081426,108817.8,58,8,2,F,2,28223,NC
31340099,16111.5,77,7,0,F,3,76164,TX
23166359,57871.4,46,2,1,F,2,10104,NY
25904486,2417.2,54,11,0,F,1,90045,CA
20450235,11425.5,48,5,4,M,2,02149,MA
13626380,7008.0,41,1,2,F,4,92705,CA
16352904,3944.8,31,10,3,M,1,55411,MN
14998390,0.0,17,9,2,F,1,96802,HI
25902814,2959.4,51,8,0,F,1,94299,CA
14996718,0.0,15,7,2,F,1,90106,CA
29989806,60827.8,63,13,1,M,2,92817,CA
28620753,0.0,16,8,1,M,1,97248,OR
19078612,16774.8,34,4,1,F,1,38177,TN
13634210,1982.0,29,8,1,M,1,94606,CA
17712903,58164.6,27,4,4,F,2,60623,IL
25897247,842.6,70,7,0,F,2,10101,NY
27259000,23870.0,60,2,0,F,2,40564,KY
29988134,47658.6,59,9,1,F,2,96849,HI
16351884,5868.7,42,11,3,F,1,90191,CA
24526440,52853.4,38,6,5,F,4,94293,CA
29975572,96518.4,46,6,0,F,2,94145,CA
25898368,1424.0,93,10,0,M,2,79931,TX
24536880,33386.4,40,8,2,F,1,90024,CA
28631967,17506.9,47,7,1,F,1,10236,NY
25893352,5963.5,47,4,0,F,1,90138,CA
29987562,3443.0,87,7,0,F,2,79931,TX
16351680,782.5,74,4,3,F,2,85724,AZ
13625890,30674.0,65,5,1,F,2,98137,WA
28613697,4049.2,41,1,5,M,4,94654,CA
28626381,2637.6,32,2,3,F,2,80986,CO
21805136,20347.6,18,6,1,M,1,60625,IL
28619325,2149.1,19,4,1,F,1,94174,CA
19087992,11621.4,83,3,1,M,1,46214,IN
20447400,27822.0,43,10,2,F,1,90024,CA
20438550,30843.0,55,2,4,F,2,87194,NM
25888906,5085.0,36,3,2,F,2,10161,NY
